"PinCode","Year","State","Population","Crime Rate"
"AK00083","1965","Anchorage, AK","159","4"
"AK00084","1966","Anchorage, AK","172","6"
"AK00085","1967","Anchorage, AK","173","5"
"AK00086","1968","Anchorage, AK","160","8"
"AK00087","1969","Anchorage, AK","162","8"
"AK00088","1970","Anchorage, AK","160","5"
"AK00089","1971","Anchorage, AK","157","6"
"AK00090","1972","Anchorage, AK","157","7"
"AK00091","1973","Anchorage, AK","172","8"
"AK00092","1974","Anchorage, AK","154","10"
"AK00093","1975","Anchorage, AK","167","10"
"AK00094","1976","Anchorage, AK","170","6"
"AK00095","1977","Anchorage, AK","157","9"
"AK00096","1978","Anchorage, AK","150","8"
"AK00097","1979","Anchorage, AK","153","10"
"AK00098","1980","Anchorage, AK","173","10"
"AK00099","1981","Anchorage, AK","163","5"
"AK00100","1982","Anchorage, AK","153","10"
"AK00101","1983","Anchorage, AK","162","4"
"AK00101","1984","Anchorage, AK","165","4"
"AK00101","1985","Anchorage, AK","171","2"
"AK00101","1986","Anchorage, AK","159","7"
"AK00101","1987","Anchorage, AK","155","6"
"AK00101","1988","Anchorage, AK","160","7"
"AK00101","1989","Anchorage, AK","178","5"
"AK00101","1990","Anchorage, AK","156","8"
"AK00101","1991","Anchorage, AK","155","5"
"AK00101","1992","Anchorage, AK","175","4"
"AK00101","1993","Anchorage, AK","177","2"
"AK00101","1994","Anchorage, AK","156","3"
"AK00101","1995","Anchorage, AK","172","7"
"AK00101","1996","Anchorage, AK","150","3"
"AK00101","1997","Anchorage, AK","154","3"
"AK00101","1998","Anchorage, AK","167","3"
"AK00101","1999","Anchorage, AK","151","6"
"AK00101","2000","Anchorage, AK","155","7"
"AK00101","2001","Anchorage, AK","162","3"
"AK00101","2002","Anchorage, AK","174","6"
"AK00101","2003","Anchorage, AK","155","4"
"AK00101","2004","Anchorage, AK","156","10"
"AK00101","2005","Anchorage, AK","177","3"
"AK00101","2006","Anchorage, AK","175","3"
"AK00101","2007","Anchorage, AK","150","3"
"AK00101","2008","Anchorage, AK","152","3"
"AK00101","2009","Anchorage, AK","165","8"
"AK00101","2010","Anchorage, AK","157","3"
"AK00101","2011","Anchorage, AK","163","2"
"AK00101","2012","Anchorage, AK","179","5"
"AK00101","2013","Anchorage, AK","175","6"
"AK00101","2014","Anchorage, AK","166","2"
"AK00101","2015","Anchorage, AK","173","3"
"AK00101","2016","Anchorage, AK","160","8"
"AK00101","2017","Anchorage, AK","170","8"
"AK00102","1969","Fairbanks North Star, AK","158","10"
"AK00102","1970","Fairbanks North Star, AK","174","4"
"AK00102","1971","Fairbanks North Star, AK","168","5"
"AK00102","1972","Fairbanks North Star, AK","162","10"
"AK00102","1973","Fairbanks North Star, AK","171","4"
"AK00102","1974","Fairbanks North Star, AK","165","3"
"AK00102","1975","Fairbanks North Star, AK","174","3"
"AK00102","1976","Fairbanks North Star, AK","155","5"
"AK00102","1977","Fairbanks North Star, AK","172","2"
"AK00102","1978","Fairbanks North Star, AK","173","3"
"AK00102","1979","Fairbanks North Star, AK","172","4"
"AK00102","1981","Fairbanks North Star, AK","176","3"
"AK00102","1983","Fairbanks North Star, AK","179","5"
"AK00102","1984","Fairbanks North Star, AK","178","3"
"AK00102","1985","Fairbanks North Star, AK","170","6"
"AK00102","1986","Fairbanks North Star, AK","157","4"
"AK00102","1988","Fairbanks North Star, AK","177","9"
"AK00102","1989","Fairbanks North Star, AK","176","3"
"AK00102","1990","Fairbanks North Star, AK","173","5"
"AK00102","1991","Fairbanks North Star, AK","180","10"
"AK00102","1992","Fairbanks North Star, AK","158","2"
"AK00102","1993","Fairbanks North Star, AK","164","5"
"AK00102","1994","Fairbanks North Star, AK","163","2"
"AK00102","1995","Fairbanks North Star, AK","162","3"
"AK00102","1996","Fairbanks North Star, AK","178","9"
"AK00102","1997","Fairbanks North Star, AK","154","3"
"AK00102","1998","Fairbanks North Star, AK","177","10"
"AK00102","1999","Fairbanks North Star, AK","164","2"
"AK00102","2000","Fairbanks North Star, AK","159","7"
"AK00102","2001","Fairbanks North Star, AK","178","7"
"AK00102","2002","Fairbanks North Star, AK","173","3"
"AK00102","2003","Fairbanks North Star, AK","171","9"
"AK00102","2004","Fairbanks North Star, AK","175","4"
"AK00102","2005","Fairbanks North Star, AK","157","8"
"AK00102","2006","Fairbanks North Star, AK","178","10"
"AK00102","2007","Fairbanks North Star, AK","155","9"
"AK00102","2008","Fairbanks North Star, AK","165","3"
"AK00102","2011","Fairbanks North Star, AK","168","9"
"AK00102","2012","Fairbanks North Star, AK","153","8"
"AK00102","2014","Fairbanks North Star, AK","170","5"
"AK00102","2015","Fairbanks North Star, AK","163","8"
"AK00102","2016","Fairbanks North Star, AK","169","10"
"AK00102","2017","Fairbanks North Star, AK","151","2"
"AK00103","1970","Juneau, AK","180","9"
"AK00103","1971","Juneau, AK","151","3"
"AK00103","1974","Juneau, AK","157","3"
"AK00103","1978","Juneau, AK","154","8"
"AK00103","1979","Juneau, AK","162","6"
"AK00103","1980","Juneau, AK","175","2"
"AK00103","1982","Juneau, AK","180","10"
"AK00103","1983","Juneau, AK","155","7"
"AK00103","1985","Juneau, AK","167","9"
"AK00103","1988","Juneau, AK","160","10"
"AK00103","1989","Juneau, AK","156","6"
"AK00103","1990","Juneau, AK","174","3"
"AK00103","2006","Juneau, AK","175","4"
"AK00103","2007","Juneau, AK","153","3"
"AK00103","2010","Juneau, AK","152","10"
"AK00103","2014","Juneau, AK","165","9"
"AK00103","2015","Juneau, AK","155","2"
"AK00103","2016","Juneau, AK","180","4"
"AK00103","2017","Juneau, AK","165","2"
"AK00104","1967","Ketchikan Gateway, AK","158","2"
"AK00104","1968","Ketchikan Gateway, AK","167","8"
"AK00104","1970","Ketchikan Gateway, AK","153","5"
"AK00104","1973","Ketchikan Gateway, AK","176","2"
"AK00104","1974","Ketchikan Gateway, AK","165","10"
"AK00104","1975","Ketchikan Gateway, AK","180","6"
"AK00104","1976","Ketchikan Gateway, AK","159","7"
"AK00104","1978","Ketchikan Gateway, AK","159","8"
"AK00104","1983","Ketchikan Gateway, AK","164","7"
"AK00104","1986","Ketchikan Gateway, AK","155","9"
"AK00104","1987","Ketchikan Gateway, AK","168","4"
"AK00104","1992","Ketchikan Gateway, AK","176","5"
"AK00104","1999","Ketchikan Gateway, AK","172","4"
"AK00104","2001","Ketchikan Gateway, AK","152","9"
"AK00104","2002","Ketchikan Gateway, AK","152","6"
"AK00104","2004","Ketchikan Gateway, AK","153","3"
"AK00104","2005","Ketchikan Gateway, AK","171","3"
"AK00104","2008","Ketchikan Gateway, AK","151","8"
"AK00104","2015","Ketchikan Gateway, AK","162","2"
"AK00104","2017","Ketchikan Gateway, AK","150","2"
"AK00105","1965","Kodiak Island, AK","164","7"
"AK00105","1967","Kodiak Island, AK","169","6"
"AK00105","1969","Kodiak Island, AK","156","9"
"AK00105","1970","Kodiak Island, AK","158","4"
"AK00105","1973","Kodiak Island, AK","150","8"
"AK00105","1974","Kodiak Island, AK","156","7"
"AK00105","1977","Kodiak Island, AK","151","10"
"AK00105","1979","Kodiak Island, AK","150","10"
"AK00105","1983","Kodiak Island, AK","177","10"
"AK00105","1993","Kodiak Island, AK","171","3"
"AK00105","2008","Kodiak Island, AK","176","9"
"AK00105","2010","Kodiak Island, AK","152","7"
"AK00105","2016","Kodiak Island, AK","166","6"
"AK00106","1971","Nome, AK","154","5"
"AK00106","1975","Nome, AK","179","6"
"AK00106","1976","Nome, AK","171","7"
"AK00106","1978","Nome, AK","160","3"
"AK00106","1980","Nome, AK","153","9"
"AK00106","1981","Nome, AK","175","7"
"AK00106","1982","Nome, AK","167","7"
"AK00106","1983","Nome, AK","178","7"
"AK00106","1984","Nome, AK","173","2"
"AK00106","1987","Nome, AK","160","5"
"AK00106","1989","Nome, AK","174","10"
"AK00106","1990","Nome, AK","178","6"
"AK00106","2011","Nome, AK","156","6"
"AK00107","2005","Wrangell-Petersburg, AK","179","9"
"AK00107","2008","Wrangell-Petersburg, AK","168","7"
"AK00108","1982","Kenai Peninsula, AK","157","7"
"AK00108","1984","Kenai Peninsula, AK","153","10"
"AK00108","1991","Kenai Peninsula, AK","180","9"
"AK00109","1967","Sitka, AK","158","5"
"AK00109","1974","Sitka, AK","163","10"
"AK00109","1978","Sitka, AK","155","2"
"AK00109","1979","Sitka, AK","169","8"
"AK00109","1982","Sitka, AK","166","3"
"AK00109","1985","Sitka, AK","166","6"
"AK00109","2008","Sitka, AK","158","2"
"AK00109","2017","Sitka, AK","166","7"
"AK00110","1982","Skagway-Hoonah-Angoon, AK","157","7"
"AK00111","1971","Wrangell-Petersburg, AK","179","9"
"AK00111","1972","Wrangell-Petersburg, AK","170","7"
"AK00111","1987","Wrangell-Petersburg, AK","172","3"
"AK00111","2000","Wrangell-Petersburg, AK","150","7"
"AK00111","2003","Wrangell-Petersburg, AK","174","3"
"AK00111","2006","Wrangell-Petersburg, AK","150","4"
"AK00112","1976","Valdez-Cordova, AK","166","7"
"AK00112","1977","Valdez-Cordova, AK","152","2"
"AK00112","1978","Valdez-Cordova, AK","180","6"
"AK00113","1971","Bethel, AK","167","8"
"AK00113","1972","Bethel, AK","167","9"
"AK00113","1975","Bethel, AK","175","6"
"AK00113","1976","Bethel, AK","169","7"
"AK00113","1977","Bethel, AK","153","8"
"AK00113","1978","Bethel, AK","162","10"
"AK00113","1980","Bethel, AK","169","3"
"AK00113","1981","Bethel, AK","175","4"
"AK00113","1982","Bethel, AK","157","9"
"AK00113","1983","Bethel, AK","160","5"
"AK00113","1987","Bethel, AK","156","8"
"AK00113","1989","Bethel, AK","170","10"
"AK00113","1990","Bethel, AK","157","3"
"AK00113","1999","Bethel, AK","157","8"
"AK00113","2004","Bethel, AK","179","7"
"AK00113","2005","Bethel, AK","176","9"
"AK00113","2006","Bethel, AK","178","9"
"AK00113","2007","Bethel, AK","167","10"
"AK00113","2009","Bethel, AK","164","4"
"AK00113","2010","Bethel, AK","174","9"
"AK00113","2011","Bethel, AK","155","8"
"AK00113","2012","Bethel, AK","160","10"
"AK00113","2015","Bethel, AK","151","4"
"AK00113","2017","Bethel, AK","154","10"
"AK00114","2001","Valdez-Cordova, AK","180","4"
"AK00116","1982","Northwest Arctic, AK","176","2"
"AK00116","1985","Northwest Arctic, AK","165","6"
"AK00116","1987","Northwest Arctic, AK","175","7"
"AK00116","1991","Northwest Arctic, AK","164","6"
"AK00116","1993","Northwest Arctic, AK","177","7"
"AK00116","2004","Northwest Arctic, AK","155","6"
"AK00116","2011","Northwest Arctic, AK","180","5"
"AK00116","2016","Northwest Arctic, AK","158","5"
"AK00117","1973","Matanuska-Susitna, AK","169","3"
"AK00117","1981","Matanuska-Susitna, AK","171","3"
"AK00117","2017","Matanuska-Susitna, AK","170","2"
"AK00118","1980","North Slope, AK","176","6"
"AK00118","1982","North Slope, AK","165","9"
"AK00118","1983","North Slope, AK","174","10"
"AK00118","1985","North Slope, AK","155","8"
"AK00118","1986","North Slope, AK","169","9"
"AK00118","1992","North Slope, AK","162","9"
"AK00118","1993","North Slope, AK","158","2"
"AK00118","1995","North Slope, AK","180","3"
"AK00118","1999","North Slope, AK","180","5"
"AK00118","2002","North Slope, AK","153","5"
"AK00118","2004","North Slope, AK","163","2"
"AK00118","2006","North Slope, AK","171","2"
"AK00118","2009","North Slope, AK","164","6"
"AK00118","2012","North Slope, AK","173","8"
"AK00118","2014","North Slope, AK","158","8"
"AK00118","2017","North Slope, AK","172","3"
"AK00120","1972","Kenai Peninsula, AK","156","6"
"AK00120","1990","Kenai Peninsula, AK","165","5"
"AK00120","1993","Kenai Peninsula, AK","158","5"
"AK00120","2005","Kenai Peninsula, AK","174","7"
"AK00121","2001","Haines, AK","179","10"
"AK00122","1988","Kenai Peninsula, AK","177","10"
"AK00122","1989","Kenai Peninsula, AK","158","4"
"AK00122","2008","Kenai Peninsula, AK","154","3"
"AK00122","2016","Kenai Peninsula, AK","167","8"
"AK00123","1975","Kenai Peninsula, AK","151","7"
"AK00123","1980","Kenai Peninsula, AK","165","2"
"AK00123","1986","Kenai Peninsula, AK","158","2"
"AK00123","1991","Kenai Peninsula, AK","179","3"
"AK00123","1999","Kenai Peninsula, AK","157","5"
"AK00123","2007","Kenai Peninsula, AK","177","10"
"AK00123","2008","Kenai Peninsula, AK","154","4"
"AK00123","2009","Kenai Peninsula, AK","180","10"
"AK00123","2015","Kenai Peninsula, AK","177","7"
"AK00124","1973","Anchorage, AK","159","5"
"AK00124","1974","Anchorage, AK","164","10"
"AK00124","1975","Anchorage, AK","168","10"
"AK00125","2012","Prince of Wales-Outer Ketchikan, AK","163","5"
"AK00130","1981","Dillingham, AK","174","8"
"AK00130","1982","Dillingham, AK","168","4"
"AK00130","1985","Dillingham, AK","162","10"
"AK00130","1987","Dillingham, AK","153","10"
"AK00130","1998","Dillingham, AK","165","6"
"AK00130","1999","Dillingham, AK","154","10"
"AK00130","2002","Dillingham, AK","167","10"
"AK00130","2004","Dillingham, AK","180","7"
"AK00130","2006","Dillingham, AK","165","3"
"AK00130","2007","Dillingham, AK","155","7"
"AK00133","2001","Aleutians West, AK","153","3"
"AK00133","2012","Aleutians West, AK","179","6"
"AK00133","2014","Aleutians West, AK","166","6"
"AK00142","1993","Anchorage, AK","173","9"
"AK00142","1995","Anchorage, AK","174","2"
"AK00145","2000","Prince of Wales-Outer Ketchikan, AK","171","4"
"AK00146","1986","Bristol Bay, AK","176","6"
"AK00146","1992","Bristol Bay, AK","161","6"
"AK00146","2013","Bristol Bay, AK","175","8"
"AK00149","2001","Yukon-Koyukuk, AK","180","6"
"AK00150","1988","Aleutians West, AK","179","9"
"AK00150","2001","Aleutians West, AK","161","10"
"AK00150","2006","Aleutians West, AK","150","5"
"AK00156","1994","Matanuska-Susitna, AK","172","7"
"AK00156","1995","Matanuska-Susitna, AK","176","3"
"AK00156","1997","Matanuska-Susitna, AK","163","5"
"AK00156","1998","Matanuska-Susitna, AK","165","5"
"AK00156","1999","Matanuska-Susitna, AK","179","4"
"AK00156","2001","Matanuska-Susitna, AK","172","5"
"AK00156","2002","Matanuska-Susitna, AK","159","6"
"AK00156","2011","Matanuska-Susitna, AK","174","7"
"AK00156","2013","Matanuska-Susitna, AK","175","7"
"AK00156","2014","Matanuska-Susitna, AK","161","8"
"AKASP00","1965","Juneau, AK","166","3"
"AKASP00","1966","Juneau, AK","163","2"
"AKASP00","1967","Juneau, AK","151","9"
"AKASP00","1968","Juneau, AK","180","9"
"AKASP00","1969","Juneau, AK","163","4"
"AKASP00","1970","Juneau, AK","178","10"
"AKASP00","1971","Juneau, AK","156","4"
"AKASP00","1972","Juneau, AK","173","6"
"AKASP00","1973","Juneau, AK","174","2"
"AKASP00","1974","Juneau, AK","156","3"
"AKASP00","1975","Juneau, AK","154","10"
"AKASP00","1976","Juneau, AK","160","7"
"AKASP00","1977","Juneau, AK","168","2"
"AKASP00","1978","Juneau, AK","151","7"
"AKASP00","1979","Juneau, AK","177","5"
"AKASP00","1980","Juneau, AK","180","6"
"AKASP00","1981","Juneau, AK","171","2"
"AKASP00","1982","Juneau, AK","169","2"
"AKASP00","1983","Juneau, AK","162","9"
"AKASP00","1984","Juneau, AK","154","5"
"AKASP00","1985","Juneau, AK","151","8"
"AKASP00","1986","Juneau, AK","154","4"
"AKASP00","1987","Juneau, AK","163","2"
"AKASP00","1988","Juneau, AK","178","8"
"AKASP00","1989","Juneau, AK","159","8"
"AKASP00","1990","Juneau, AK","164","2"
"AKASP00","1991","Juneau, AK","165","4"
"AKASP00","1992","Juneau, AK","164","3"
"AKASP00","1993","Juneau, AK","179","10"
"AKASP00","1994","Juneau, AK","159","4"
"AKASP00","1995","Juneau, AK","152","4"
"AKASP00","1996","Juneau, AK","151","4"
"AKASP00","1997","Juneau, AK","165","10"
"AKASP00","1998","Juneau, AK","161","3"
"AKASP00","1999","Juneau, AK","177","7"
"AKASP00","2000","Juneau, AK","153","8"
"AKASP00","2001","Juneau, AK","166","8"
"AKASP00","2002","Juneau, AK","177","4"
"AKASP00","2003","Juneau, AK","161","7"
"AKASP00","2004","Juneau, AK","157","7"
"AKASP00","2005","Juneau, AK","171","2"
"AKASP00","2006","Juneau, AK","165","7"
"AKASP00","2007","Juneau, AK","152","5"
"AKASP00","2008","Juneau, AK","156","5"
"AKASP00","2009","Juneau, AK","179","8"
"AKASP00","2010","Juneau, AK","166","5"
"AKASP00","2011","Juneau, AK","178","9"
"AKASP00","2012","Juneau, AK","150","9"
"AKASP00","2013","Juneau, AK","177","9"
"AKAST01","2014","Anchorage, AK","165","7"
"AKAST01","2015","Anchorage, AK","156","5"
"AKAST01","2016","Anchorage, AK","170","5"
"AKAST01","2017","Anchorage, AK","168","7"
"AL00100","1965","Jefferson, AL","150","5"
"AL00100","1966","Jefferson, AL","171","9"
